Episode,Step,Wall1,Wall2,Time,PosX,PosY,PosZ,RotY,Reward
1,1,0,0,0,3,5.4125,0,0,0
1,2,0,0,0.02,3,5.4125,0,0,-0.0001
1,3,0,0,0.04,3,5.4125,0,0,-0.0002
1,4,0,0,0.06,3,5.4125,0,0,-0.0003
1,5,0,0,0.08,3,5.4125,0,0,-0.0004
1,6,0,0,0.09999999,3,5.4125,0,0,-0.0005
1,7,0,0,0.12,3,5.4125,0,0,-0.0006
1,8,0,0,0.14,3,5.4125,0,0,-0.0007
1,9,0,0,0.16,3,5.4125,0,0,-0.0008
1,10,0,0,0.18,3,5.4125,0,0,-0.0009
1,11,0,0,0.2,3,5.4125,0,0,-0.0009999999
1,12,0,0,0.22,3,5.4125,0,0,-0.0011
1,13,0,0,0.24,3,5.4125,0,0,-0.0012
1,14,0,0,0.26,3,5.4125,0,0,-0.0013
1,15,0,0,0.28,3,5.4125,0,0,-0.0014
1,16,0,0,0.3,3,5.4125,0,0,-0.0015
1,17,0,0,0.32,3,5.4125,0,0,-0.0016
1,18,0,0,0.34,3,5.4125,0,0,-0.0017
1,19,0,0,0.36,3,5.4125,0,0,-0.0018
1,20,0,0,0.38,3,5.4125,0,0,-0.001899999
1,21,0,0,0.4,3,5.4125,0,0,-0.001999999
1,22,0,0,0.42,3,5.4125,0,0,-0.002099999
1,23,0,0,0.44,3,5.4125,0,0,-0.0022
1,24,0,0,0.46,3,5.4125,0,0,-0.0023
1,25,0,0,0.48,3,5.4125,0,0,-0.0024
1,26,0,0,0.5,3,5.4125,0,0,-0.0025
1,27,0,0,0.52,3,5.4125,0,0,-0.0026
1,28,0,0,0.54,3,5.4125,0,0,-0.0027
1,29,0,0,0.56,3,5.4125,0,0,-0.0028
1,30,0,0,0.58,3,5.4125,0,0,-0.0029
1,31,0,0,0.6,3,5.4125,0,0,-0.003
1,32,0,0,0.62,3,5.4125,0,0,-0.0031
1,33,0,0,0.64,3,5.4125,0,0,-0.0032
1,34,0,0,0.66,3,5.4125,0,0,-0.0033
1,35,0,0,0.68,3,5.4125,0,0,-0.0034
1,36,0,0,0.7,3,5.4125,0,0,-0.0035
1,37,0,0,0.72,3,5.4125,0,0,-0.0036
1,38,0,0,0.74,3,5.4125,0,0,-0.0037
1,39,0,0,0.76,3,5.4125,0,0,-0.003800001
1,40,0,0,0.78,3,5.4125,0,0,-0.003900001
1,41,0,0,0.8,3,5.4125,0,0,-0.004000001
1,42,0,0,0.82,3,5.4125,0,0,-0.0041
1,43,0,0,0.84,3,5.4125,0,0,-0.0042
1,44,0,0,0.86,3,5.4125,0,0,-0.0043
1,45,0,0,0.88,3,5.4125,0,0,-0.0044
1,46,0,0,0.9,3,5.4125,0,0,-0.0045
1,47,0,0,0.92,3,5.4125,0,0,-0.0046
1,48,0,0,0.94,3,5.4125,0,0,-0.004699999
1,49,0,0,0.96,3,5.4125,0,0,-0.004799999
1,50,0,0,0.98,3,5.4125,0,0,-0.004899999
1,51,0,0,1,3,5.4125,0,0,-0.004999999
1,52,0,0,1.02,3,5.4125,0,0,-0.005099999
1,53,0,0,1.04,3,5.4125,0,0,-0.005199999
1,54,0,0,1.06,3,5.4125,0,0,-0.005299998
1,55,0,0,1.08,3,5.4125,0,0,-0.005399998
1,56,0,0,1.1,3,5.4125,0,0,-0.005499998
1,57,0,0,1.12,3,5.4125,0,0,-0.005599998
1,58,0,0,1.14,3,5.4125,0,0,-0.005699998
1,59,0,0,1.16,3,5.4125,0,0,-0.005799998
1,60,0,0,1.18,3,5.4125,0,0,-0.005899997
1,61,0,0,1.2,3,5.4125,0,0,-0.005999997
1,62,0,0,1.22,3,5.4125,0,0,-0.006099997
1,63,0,0,1.24,3,5.4125,0,0,-0.006199997
1,64,0,0,1.26,3,5.4125,0,0,-0.006299997
1,65,0,0,1.28,3,5.4125,0,0,-0.006399997
1,66,0,0,1.3,3,5.4125,0,0,-0.006499996
1,67,0,0,1.32,3,5.4125,0,0,-0.006599996
1,68,0,0,1.34,3,5.4125,0,0,-0.006699996
1,69,0,0,1.36,3,5.4125,0,0,-0.006799996
1,70,0,0,1.38,3,5.4125,0,0,-0.006899996
1,71,0,0,1.4,3,5.4125,0,0,-0.006999996
1,72,0,0,1.42,3,5.4125,0,0,-0.007099995
1,73,0,0,1.44,3,5.4125,0,0,-0.007199995
1,74,0,0,1.46,3,5.4125,0,0,-0.007299995
1,75,0,0,1.48,3,5.4125,0,0,-0.007399995
1,76,0,0,1.5,3,5.4125,0,0,-0.007499995
1,77,0,0,1.52,3,5.4125,0,0,-0.007599995
1,78,0,0,1.54,3,5.4125,0,0,-0.007699994
1,79,0,0,1.56,3,5.4125,0,0,-0.007799994
1,80,0,0,1.58,3,5.4125,0,0,-0.007899994
1,81,0,0,1.6,3,5.4125,0,0,-0.007999994
1,82,0,0,1.62,3,5.4125,0,0,-0.008099994
1,83,0,0,1.64,3,5.4125,0,0,-0.008199994
1,84,0,0,1.66,3,5.4125,0,0,-0.008299993
1,85,0,0,1.68,3,5.4125,0,0,-0.008399993
1,86,0,0,1.7,3,5.4125,0,0,-0.008499993
1,87,0,0,1.72,3,5.4125,0,0,-0.008599993
1,88,0,0,1.74,3,5.4125,0,0,-0.008699993
1,89,0,0,1.76,3,5.4125,0,0,-0.008799993
1,90,0,0,1.78,3,5.4125,0,0,-0.008899992
1,91,0,0,1.8,3,5.4125,0,0,-0.008999992
1,92,0,0,1.82,3,5.4125,0,0,-0.009099992
1,93,0,0,1.84,3,5.4125,0,0,-0.009199992
1,94,0,0,1.86,3,5.4125,0,0,-0.009299992
1,95,0,0,1.88,3,5.4125,0,0,-0.009399991
1,96,0,0,1.9,3,5.4125,0,0,-0.009499991
1,97,0,0,1.92,3,5.4125,0,0,-0.009599991
1,98,0,0,1.94,3,5.4125,0,0,-0.009699991
1,99,0,0,1.96,3,5.4125,0,0,-0.009799991
1,100,0,0,1.98,3,5.4125,0,0,-0.009899991
1,101,0,0,2,3,5.4125,0,0,-0.00999999
1,102,0,0,2.02,3,5.4125,0,0,-0.01009999
1,103,0,0,2.04,3,5.4125,0,0,-0.01019999
1,104,0,0,2.06,3,5.4125,0,0,-0.01029999
1,105,0,0,2.08,3,5.4125,0,0,-0.01039999
1,106,0,0,2.1,3,5.4125,0,0,-0.01049999
1,107,0,0,2.12,3,5.4125,0,0,-0.01059999
1,108,0,0,2.14,3,5.4125,0,0,-0.01069999
1,109,0,0,2.16,3,5.4125,0,0,-0.01079999
1,110,0,0,2.18,3,5.4125,0,0,-0.01089999
1,111,0,0,2.2,3,5.4125,0,0,-0.01099999
1,112,0,0,2.22,3,5.4125,0,0,-0.01109999
1,113,0,0,2.24,3,5.4125,0,0,-0.01119999
1,114,0,0,2.26,3,5.4125,0,0,-0.01129999
1,115,0,0,2.28,3,5.4125,0,0,-0.01139999
1,116,0,0,2.3,3,5.4125,0,0,-0.01149999
1,117,0,0,2.32,3,5.4125,0,0,-0.01159999
1,118,0,0,2.34,3,5.4125,0,0,-0.01169999
1,119,0,0,2.36,3,5.4125,0,0,-0.01179999
1,120,0,0,2.38,3,5.4125,0,0,-0.01189999
1,121,0,0,2.4,3,5.4125,0,0,-0.01199999
1,122,0,0,2.42,3,5.4125,0,0,-0.01209999
1,123,0,0,2.44,3,5.4125,0,0,-0.01219999
1,124,0,0,2.46,3,5.4125,0,0,-0.01229999
1,125,0,0,2.48,3,5.4125,0,0,-0.01239999
1,126,0,0,2.5,3,5.4125,0,0,-0.01249999
1,127,0,0,2.52,3,5.4125,0,0,-0.01259999
1,128,0,0,2.54,3,5.4125,0,0,-0.01269999
1,129,0,0,2.56,3,5.4125,0,0,-0.01279999
1,130,0,0,2.58,3,5.4125,0,0,-0.01289999
1,131,0,0,2.6,3,5.4125,0,0,-0.01299999
1,132,0,0,2.62,3,5.4125,0,0,-0.01309999
