Episode,Step,Wall1,Wall2,Time,PosX,PosY,PosZ,RotY,Reward
1,1,0,0,0,-3,5.4125,0,0,0
1,2,0,0,0.02,-2.717157,5.4125,-0.2828427,0,-0.0001
1,3,0,0,0.04,-2.317157,5.4125,-0.2828427,352.8,-0.0002
1,4,0,0,0.06,-2.317157,5.4125,-0.2828427,345.6,-0.0003
1,5,0,0,0.08,-2.317157,5.4125,-0.2828427,345.6,-0.0004
1,6,0,0,0.09999999,-2.704591,5.4125,-0.3823189,345.6,-0.0005
1,7,0,0,0.12,-2.360294,5.4125,-0.5859352,352.8,-0.0006
1,8,0,0,0.14,-2.044231,5.4125,-0.831098,345.6,-0.0007
1,9,0,0,0.16,-2.431665,5.4125,-0.9305741,338.4,-0.0008
1,10,0,0,0.18,-2.059754,5.4125,-0.7833241,331.2,-0.0009
1,11,0,0,0.2,-1.675637,5.4125,-0.8949201,331.2,-0.0009999999
1,12,0,0,0.22,-1.291519,5.4125,-1.006516,331.2,-0.0011
1,13,0,0,0.24,-0.9074015,5.4125,-1.118112,331.2,-0.0012
1,14,0,0,0.26,-0.556879,5.4125,-0.9254104,338.4,-0.0013
1,15,0,0,0.28,-0.1849685,5.4125,-0.7781605,331.2,-0.0014
1,16,0,0,0.3,0.1655539,5.4125,-0.5854586,323.9999,-0.0015
1,17,0,0,0.32,0.4006684,5.4125,-0.9090652,316.7999,-0.0016
1,18,0,0,0.34,0.1090812,5.4125,-1.182884,309.5999,-0.0017
1,19,0,0,0.36,0.3640503,5.4125,-0.8746786,302.3999,-0.0018
1,20,0,0,0.38,0.1497202,5.4125,-1.21241,295.1999,-0.001899999
1,21,0,0,0.4,0.3200311,5.4125,-0.8504789,295.1999,-0.001999999
1,22,0,0,0.42,0.4903421,5.4125,-0.4885478,295.1999,-0.002099999
1,23,0,0,0.44,0.8666941,5.4125,-0.3530518,295.1999,-0.0022
1,24,0,0,0.46,1.136177,5.4125,-0.2311928,287.9999,-0.0023
